clusters	colors
TR42549_c2_g2_i2	2	#00FFB3FF
TR42533_c5_g1_i5	6	#0019FFFF
TR29801_c3_g1_i5	9	#CC00FFFF
TR42078_c1_g2_i2	2	#00FFB3FF
TR32001_c1_g1_i2	8	#8000FFFF
TR42837_c1_g1_i3	2	#00FFB3FF
TR7660_c0_g1_i1	6	#0019FFFF
TR34437_c0_g2_i1	2	#00FFB3FF
TR42078_c1_g2_i5	2	#00FFB3FF
TR35351_c0_g1_i2	1	#00FF66FF
TR40986_c1_g1_i12	2	#00FFB3FF
TR36728_c2_g3_i1	10	#FF00E6FF
TR37016_c2_g1_i6	10	#FF00E6FF
TR40138_c2_g1_i2	2	#00FFB3FF
TR36539_c0_g4_i4	2	#00FFB3FF
TR39321_c0_g1_i4	2	#00FFB3FF
TR39321_c0_g1_i6	1	#00FF66FF
TR41945_c6_g2_i5	2	#00FFB3FF
TR41739_c1_g2_i6	2	#00FFB3FF
TR5945_c0_g1_i1	6	#0019FFFF
TR41102_c0_g4_i1	2	#00FFB3FF
TR40381_c2_g3_i5	7	#3300FFFF
TR27755_c0_g1_i2	3	#00FFFFFF
TR42506_c1_g1_i9	2	#00FFB3FF
TR42740_c1_g1_i3	2	#00FFB3FF
TR23191_c0_g1_i1	10	#FF00E6FF
TR44020_c0_g1_i1	2	#00FFB3FF
TR41435_c3_g1_i8	1	#00FF66FF
TR42435_c0_g1_i4	2	#00FFB3FF
TR35851_c4_g1_i1	9	#CC00FFFF
TR39227_c3_g3_i3	2	#00FFB3FF
TR41994_c1_g1_i3	10	#FF00E6FF
TR33756_c2_g4_i2	1	#00FF66FF
TR24679_c2_g1_i1	7	#3300FFFF
TR40033_c0_g1_i5	3	#00FFFFFF
TR41728_c3_g1_i3	2	#00FFB3FF
TR43104_c0_g1_i8	2	#00FFB3FF
TR30866_c0_g1_i1	7	#3300FFFF
TR32355_c0_g1_i1	10	#FF00E6FF
TR43139_c1_g1_i3	2	#00FFB3FF
TR40065_c1_g2_i3	3	#00FFFFFF
TR41721_c0_g3_i1	2	#00FFB3FF
TR35884_c1_g1_i8	7	#3300FFFF
TR30429_c0_g4_i1	2	#00FFB3FF
TR32775_c8_g1_i3	3	#00FFFFFF
TR38547_c0_g1_i6	2	#00FFB3FF
TR39177_c2_g1_i2	3	#00FFFFFF
TR23345_c0_g5_i1	9	#CC00FFFF
TR41945_c6_g2_i3	2	#00FFB3FF
TR42325_c1_g3_i2	2	#00FFB3FF
TR38360_c0_g1_i3	9	#CC00FFFF
TR39467_c3_g8_i6	11	#FF0099FF
TR41937_c2_g3_i20	2	#00FFB3FF
TR28414_c0_g1_i3	5	#0066FFFF
TR17601_c2_g1_i1	6	#0019FFFF
TR30303_c1_g1_i3	6	#0019FFFF
TR21509_c0_g1_i1	2	#00FFB3FF
TR38523_c2_g2_i7	2	#00FFB3FF
TR32951_c1_g1_i2	2	#00FFB3FF
TR42501_c1_g1_i5	2	#00FFB3FF
TR26787_c0_g1_i3	6	#0019FFFF
TR35981_c0_g1_i4	3	#00FFFFFF
TR43261_c1_g1_i1	2	#00FFB3FF
TR40140_c2_g1_i1	2	#00FFB3FF
TR28103_c0_g1_i2	9	#CC00FFFF
TR37480_c2_g1_i2	2	#00FFB3FF
TR41950_c0_g1_i6	2	#00FFB3FF
TR38167_c5_g5_i2	10	#FF00E6FF
TR33181_c1_g1_i2	10	#FF00E6FF
TR36133_c2_g2_i1	7	#3300FFFF
TR34323_c5_g3_i6	3	#00FFFFFF
TR33935_c3_g3_i4	2	#00FFB3FF
TR39791_c2_g1_i5	3	#00FFFFFF
TR32355_c0_g1_i3	6	#0019FFFF
TR40810_c2_g1_i3	1	#00FF66FF
TR32747_c0_g1_i2	10	#FF00E6FF
TR29801_c3_g1_i1	6	#0019FFFF
TR28261_c0_g1_i4	6	#0019FFFF
TR38555_c2_g3_i2	2	#00FFB3FF
TR40253_c2_g2_i2	11	#FF0099FF
TR37869_c3_g2_i5	1	#00FF66FF
TR41934_c1_g3_i1	2	#00FFB3FF
TR43104_c0_g2_i3	2	#00FFB3FF
TR33685_c0_g2_i1	9	#CC00FFFF
TR42448_c0_g1_i9	10	#FF00E6FF
TR43115_c2_g1_i4	2	#00FFB3FF
TR27580_c0_g1_i2	7	#3300FFFF
TR37914_c0_g2_i1	12	#FF004DFF
TR41889_c0_g1_i2	2	#00FFB3FF
TR40920_c0_g1_i7	3	#00FFFFFF
TR37842_c0_g1_i4	2	#00FFB3FF
TR40905_c2_g2_i3	2	#00FFB3FF
TR34750_c4_g2_i3	6	#0019FFFF
TR34099_c8_g2_i1	7	#3300FFFF
TR39900_c1_g3_i1	7	#3300FFFF
TR38772_c5_g2_i3	3	#00FFFFFF
TR35997_c0_g1_i2	2	#00FFB3FF
TR40705_c2_g1_i5	2	#00FFB3FF
TR41198_c1_g2_i10	2	#00FFB3FF
TR42875_c0_g3_i5	10	#FF00E6FF
TR43033_c3_g2_i6	3	#00FFFFFF
TR30755_c0_g4_i2	2	#00FFB3FF
TR35269_c2_g1_i7	2	#00FFB3FF
TR36844_c1_g1_i9	2	#00FFB3FF
TR36006_c1_g6_i7	9	#CC00FFFF
TR38303_c1_g2_i1	2	#00FFB3FF
TR42513_c1_g1_i5	2	#00FFB3FF
TR41739_c1_g2_i14	7	#3300FFFF
TR39118_c1_g1_i10	2	#00FFB3FF
TR32216_c1_g2_i1	6	#0019FFFF
TR41838_c2_g1_i2	2	#00FFB3FF
TR25458_c0_g1_i4	7	#3300FFFF
TR42237_c2_g3_i14	2	#00FFB3FF
TR32319_c2_g1_i2	9	#CC00FFFF
TR37159_c4_g1_i8	8	#8000FFFF
TR39524_c1_g1_i4	1	#00FF66FF
TR42655_c1_g3_i1	7	#3300FFFF
TR33384_c0_g2_i15	6	#0019FFFF
TR34881_c2_g2_i1	2	#00FFB3FF
TR35269_c2_g1_i2	2	#00FFB3FF
TR34099_c8_g2_i3	7	#3300FFFF
TR29576_c0_g1_i3	2	#00FFB3FF
TR43221_c1_g2_i1	2	#00FFB3FF
TR35000_c0_g1_i3	2	#00FFB3FF
TR36423_c0_g1_i1	10	#FF00E6FF
TR38692_c5_g1_i8	2	#00FFB3FF
TR35978_c0_g1_i9	3	#00FFFFFF
TR40715_c0_g1_i8	3	#00FFFFFF
TR41838_c2_g1_i1	2	#00FFB3FF
TR41203_c0_g1_i3	2	#00FFB3FF
TR31452_c1_g1_i4	4	#00B2FFFF
TR34635_c0_g4_i1	6	#0019FFFF
TR14920_c0_g1_i1	1	#00FF66FF
TR36075_c1_g1_i2	2	#00FFB3FF
TR31567_c1_g3_i1	2	#00FFB3FF
TR42414_c4_g3_i3	2	#00FFB3FF
TR38604_c0_g1_i2	2	#00FFB3FF
TR34323_c5_g3_i5	7	#3300FFFF
TR33864_c0_g1_i3	3	#00FFFFFF
TR42586_c1_g1_i7	2	#00FFB3FF
TR7518_c0_g1_i1	2	#00FFB3FF
TR43136_c0_g1_i3	2	#00FFB3FF
TR42474_c1_g1_i2	2	#00FFB3FF
TR37954_c1_g1_i1	6	#0019FFFF
TR36742_c7_g2_i2	6	#0019FFFF
TR33649_c1_g3_i1	10	#FF00E6FF
TR34936_c5_g2_i1	3	#00FFFFFF
TR34683_c0_g1_i1	10	#FF00E6FF
TR39432_c2_g2_i6	6	#0019FFFF
TR42443_c3_g1_i1	3	#00FFFFFF
TR23082_c0_g1_i1	2	#00FFB3FF
TR40081_c3_g1_i5	7	#3300FFFF
TR42236_c0_g1_i1	2	#00FFB3FF
TR43033_c3_g2_i12	2	#00FFB3FF
TR41724_c0_g1_i1	2	#00FFB3FF
TR35069_c0_g1_i8	2	#00FFB3FF
TR37342_c1_g1_i1	3	#00FFFFFF
TR42661_c1_g1_i13	2	#00FFB3FF
TR24521_c0_g4_i1	9	#CC00FFFF
TR36844_c1_g1_i7	2	#00FFB3FF
TR33286_c7_g2_i9	9	#CC00FFFF
TR41537_c1_g1_i6	3	#00FFFFFF
TR43095_c0_g1_i8	2	#00FFB3FF
TR43046_c0_g1_i3	2	#00FFB3FF
TR28590_c0_g1_i2	3	#00FFFFFF
TR43165_c0_g1_i1	2	#00FFB3FF
TR41472_c0_g1_i10	2	#00FFB3FF
TR28142_c0_g1_i1	6	#0019FFFF
TR43257_c13_g2_i2	2	#00FFB3FF
TR42661_c1_g1_i16	2	#00FFB3FF
TR37083_c3_g4_i5	7	#3300FFFF
TR8506_c0_g1_i1	2	#00FFB3FF
TR37377_c3_g1_i1	2	#00FFB3FF
TR18130_c0_g3_i1	6	#0019FFFF
TR33626_c0_g1_i3	10	#FF00E6FF
TR39797_c0_g1_i2	2	#00FFB3FF
TR40919_c0_g2_i5	7	#3300FFFF
TR32690_c2_g3_i2	10	#FF00E6FF
TR38937_c1_g1_i5	6	#0019FFFF
TR33580_c1_g3_i2	2	#00FFB3FF
TR36072_c0_g1_i8	2	#00FFB3FF
TR43133_c1_g1_i2	2	#00FFB3FF
TR43046_c0_g1_i1	2	#00FFB3FF
TR43183_c0_g1_i4	2	#00FFB3FF
TR40732_c1_g2_i1	7	#3300FFFF
TR39467_c3_g4_i1	6	#0019FFFF
TR38451_c0_g1_i4	2	#00FFB3FF
TR41727_c0_g1_i7	2	#00FFB3FF
TR40986_c1_g1_i2	2	#00FFB3FF
TR41534_c0_g1_i11	2	#00FFB3FF
TR37016_c2_g1_i1	6	#0019FFFF
